Count,Date,Open,High,Low,Close,Adj Close,Volume
1,2/4/19,312.980011,315.299988,301.880005,312.890015,312.890015,7352100
2,2/5/19,312.48999,322.440002,312.25,321.350006,321.350006,6742800
3,2/6/19,319.589996,324.23999,315.619995,317.220001,317.220001,5038500
4,2/7/19,313.299988,314.700012,303,307.51001,307.51001,6520600
5,2/8/19,306.829987,307.450012,298.5,305.799988,305.799988,5844200
6,2/11/19,311.600006,318.600006,310.5,312.839996,312.839996,7129700
7,2/12/19,316.200012,318.190002,309.619995,311.809998,311.809998,5517600
8,2/13/19,312.350006,312.75,305.570007,308.170013,308.170013,5141600
9,2/14/19,303.380005,306.769989,301,303.769989,303.769989,5200800
10,2/15/19,304.5,308,303.899994,307.880005,307.880005,3904900
11,2/19/19,306.559998,311.540009,305.470001,305.640015,305.640015,4168400
12,2/20/19,304.410004,306.299988,299,302.559998,302.559998,7142100
13,2/21/19,301.809998,303.23999,290.5,291.230011,291.230011,8909200
14,2/22/19,294.48999,296.5,292.100006,294.709991,294.709991,5740600
15,2/25/19,297.910004,302.899994,297,298.769989,298.769989,6626500
16,2/26/19,292.220001,302.01001,288.769989,297.859985,297.859985,8582500
17,2/27/19,301.779999,316.299988,300.549988,314.73999,314.73999,11183900
18,2/28/19,318.920013,320,310.809998,319.880005,319.880005,10520700
19,3/1/19,306.940002,307.130005,291.899994,294.790009,294.790009,22911400
20,3/4/19,298.119995,299,282.779999,285.359985,285.359985,17096800
21,3/5/19,282,284,270.100006,276.540009,276.540009,18764700
22,3/6/19,276.480011,281.51001,274.390015,276.23999,276.23999,10335500
23,3/7/19,278.839996,284.700012,274.25,276.589996,276.589996,9442500
24,3/8/19,276.910004,285.589996,275.890015,284.140015,284.140015,8819600
25,3/11/19,283.519989,291.279999,280.5,290.920013,290.920013,7392300
26,3/12/19,286.48999,288.070007,281.059998,283.359985,283.359985,7504100
27,3/13/19,283.899994,291.98999,282.700012,288.959991,288.959991,6844700
28,3/14/19,292.450012,295.390015,288.290009,289.959991,289.959991,7103400
29,3/15/19,283.51001,283.720001,274.399994,275.429993,275.429993,14785500
30,3/18/19,276,278.049988,267.299988,269.48999,269.48999,10281000
31,3/19/19,267.5,273.299988,263.459991,267.470001,267.470001,11800600
32,3/20/19,269.690002,274.970001,266.299988,273.600006,273.600006,6908200
33,3/21/19,272.600006,276.450012,268.450012,274.019989,274.019989,5947100
34,3/22/19,272.579987,272.799988,264,264.529999,264.529999,8745600
35,3/25/19,259.709991,263.179993,254.460007,260.420013,260.420013,10215000
36,3/26/19,264.440002,270.26001,264.429993,267.769989,267.769989,7350900
37,3/27/19,268.75,275.369995,268.179993,274.829987,274.829987,8779200
38,3/28/19,277.160004,280.329987,275.100006,278.619995,278.619995,6774100
39,3/29/19,278.700012,280.160004,274.5,279.859985,279.859985,5991300
40,4/1/19,282.619995,289.200012,281.279999,289.179993,289.179993,8110400
41,4/2/19,288.299988,289.440002,283.880005,285.880005,285.880005,5478900
42,4/3/19,287.320007,296.170013,287.170013,291.809998,291.809998,7929900
43,4/4/19,261.890015,271.200012,260.589996,267.779999,267.779999,23720700
44,4/5/19,269.859985,276.100006,266.109985,274.959991,274.959991,13038300
45,4/8/19,277.690002,281.160004,270.440002,273.200012,273.200012,10410400
46,4/9/19,271.649994,275,269.609985,272.309998,272.309998,5904000
47,4/10/19,276.73999,278.380005,272.890015,276.059998,276.059998,7061300
48,4/11/19,268.299988,270.5,265.600006,268.420013,268.420013,9835900
49,4/12/19,270.220001,271.950012,266.829987,267.700012,267.700012,6746000
